Halchter,A1,0
Waltenhausen,A2,0
Eichendorf,A3,0
Stiefenhofen,A4,0
Salzbergen,A5,0
Memleben,A6,0
Grundsteinheim,A7,0
Priesendorf,A8,0
Beselin,A8,985.49
Buckenhof,A8,59.53
Nuthe-Urstromtal,A8,2469.14
Marienflies,A4,1611.95
Borová Lada,A1,2235.28
Maxain,A8,261.46
Tiefengruben,A2,1586.33
Drentwede,A3,2084.47
Hohenhof,A7,1609.67
Scheppach,A1,789.63
Jena-Lobeda,A8,2605.43
Birgel (Vulkaneifel),A1,2596.34
Maendlfeld,A5,1879.67
Olsberg-Assinghausen,A7,2551.02
Menden,A6,287.17
Altrip,A2,1701.52
Auerbach/Vogtland,A8,428.45
Saarbruecken,A1,2460.96
Kropp,A3,383
Oberaula,A5,730.35
Einhausen,A8,473.94
uebersee,A4,2372.55
Vorderweidenthal,A4,488.09
Ullersdorf,A2,2270.27
Nebelschuetz,A1,176.94
 OT Miltitz,A7,1716.97
Tholey-Theley,A2,2947.82
Rantzau,A3,1422.34
Weyhe,A6,481.98
Ruetenbrock,A7,2343.6
Steutz,A4,2472.14
Krumbeck,A2,2945.57
Winhoering,A7,141.98
St. Gangloff,A3,769.88
Guben,A6,708.28
Weisenborn-Luederode,A5,1651.99
Zscherndorf,A6,1922.37
Gros Liedern,A7,1420.74
Westerburg,A1,58.65
Rothenfels,A3,394.32
Ayl,A2,2011.44
Bueschergrund,A5,97
Oppurg,A1,344.26
Mariental,A5,2088.29
Rastede - Barghorn,A7,1530.56
Staebelow OT Bliesekow,A5,1668.75
Freiamt,A3,2856.85
Holzkirchen,A8,1091.53
Lingen-Darme,A6,1073.92
Neuhuetten,A2,2815.48
Middelsfaehr,A1,1119.85
Pressig,A1,390.36
Oelsnitz OT Taltitz,A6,1804.37
Sechendorf,A3,613.65
Schloss Holte-Liemke,A6,1960.17
Alsmoos,A2,1952.39
Ottenhofen,A3,235.26
Sandizell,A5,53.7
Arnstorf,A6,2709.57
Sommerland,A6,569.94
Groshelfendorf,A4,2376.34
Schmannewitz,A3,348.16
Grabau,A5,15.67
Wokuhl-Dabelow,A5,2745.9
Bad Tennstedt,A6,173.13
Tiefenthal,A1,2645.43
Breisach-Oberrimsingen,A5,2162.16
Wiesbaden-Frauenstein,A2,1817.12
Hoegsdorf,A1,999.69
Neundorf-Pahnstangen,A6,2676.01
Pfeffingen,A5,2455.76
Ingeln,A7,2582.57
Muehlingen,A4,1883.49
Niederkruechten,A5,1158.12
Tennenlohe,A4,2059.68
Waging a.S,A8,161.06
Rieb,A8,578.38
Neppermin,A6,1911.14
Barnstaedt,A4,59.48
Dallgow-Doeberitz,A3,8.1
Stammham,A8,2201.88
Busdorf,A6,678.38
Rattenberg,A7,319.78
Heiligenstadt i OFr,A4,1353.98
Kleinostheim,A6,2171.08
Rocksdorf,A4,2568.51
Hemeln,A1,2265.41
Allmannshofen,A1,2240.01
Werder(Havel),A2,2605.28
Mundelsheim,A8,2269.66
Zell Unter Aichelberg,A4,674.09
Klein Offenseth-Sparrieshoop,A8,856.59
Kicklingen,A6,2235.07
Brand,A2,1343.24
Grosenlueder,A2,72.16
Kuestriner Vorland,A3,2507.29
Rheinau,A3,418.42
Bad Muender OT Eimbeckhausen,A3,2798.72
Bocholt,A5,2082.31
Biburg,A6,2878.75
Unterbuchen,A5,1819.32
Wallerfing,A3,393.86
Wuestenrot-Neuhuetten,A3,2490.12
Meinhard,A4,492.87
Bruck,A4,1252.9
Mengen-Ennetach,A2,1801.54
Alpirsbach,A5,2330.95
Rhauderfehn,A8,1440.33
Ostercappeln-Schwagstorf,A1,995.81
Bad Schandau-Ostrau,A7,1228.01
Langsur,A7,786.85
Dummerstorf OT Griebnitz,A6,1159.34
Niederkruechten-Elmpt,A3,2468.01
Guetersloh,A7,2294.43
 Avenwedde Bahnhof,A5,2269.16
Betenbrunn,A3,1600.14
Bodenkirchen,A1,2018.49
Roettenbach,A8,559.81
Stavenhagen,A5,1526.32
Kronsgaard,A1,1758.67
Doerentrup / Humfeld,A8,562.24
Koblenz-Metternich,A5,1213.29
Kampberg,A6,525.38
Duedinghausen,A5,2410.1
Forbach-Erbersbronn,A2,2109.51
Alfstedt,A5,835.65
Streitberg,A7,560.29
Kottingwoerthermuehle,A8,2463.43
Kuessaberg,A4,2396.74
Niederarnbach,A2,2781.02
Mahlberg-Orschweier,A1,1255.99
Marktheidenfeld,A7,704.92
ueberlingen/Nusdorf,A6,1664.36
Jena-Maua,A3,1026.48
Keltern-Dietlingen,A3,2289.15
Osdorf,A3,2303.46
Hanstedt,A6,399.31
Winsen Aller,A2,314.05
Mauth,A3,1058.15
Loeningen,A5,277.57
Neusatzeck,A1,2264.25
Deifeld,A1,2444.08
Stuttgart Feuerbach,A3,1314.17
Stulln,A1,1623.88
Boesleben-Wuellersleben,A4,1651.74
Winkl,A5,1007.88
Ernstthal am Rennsteig,A2,1126.74
Schmerz,A1,941.01
Herxheim-Hayna,A5,1794.99
Eichlberg,A1,1120.22
Rumbeck,A5,2405.46
Nideggen,A1,788.51
Westerkappeln,A2,673.45
Kaegsdorf,A7,1024.25
Trebelshain,A8,198.09
Offerschwang,A6,2796.14
Gemunden,A7,1810.91
Wangerland - Neu Augustengroden,A4,1198.06
Kunreuth,A6,2875.04
Einharding,A7,2553.61
Lauda-Koenigshofen,A1,2881.83
Petershausen,A2,710.65
Posewald,A8,1249.29
Singhofen,A7,78.45
Suelfeld,A1,1100.91
Garz/Ruegen,A2,528.24
Erpel OT Orsberg,A3,2972.53
Jessenitz-Werk,A7,1180.38
Zeesen Stadt Koenigs Wusterhausen,A1,2162.01
Birkholz,A2,1565.86
Zwenkau,A1,2934.09
Wuerrich,A5,1989.54
Boye,A1,166.51
Weisensee,A1,486.77
Halle-Peisen,A7,184.35
Bechhofen-Sachsbach,A5,2486.74
Deckenpfronn,A4,2563.13
Ochtmannsbruch,A1,273.84
Lauda-Koenigsofen,A2,535.64
Zierow,A2,1318.91
Duesseldorf-Urdenbach,A7,1539.03
Loewenstein,A5,25.06
Karmitz,A3,1128.28
Waldbrunn,A7,1515.84
Friesoythe Neuvrees,A8,1300.96
Annahuette,A2,477.76
Gondsroth,A4,740.06
Gablingen,A7,2889.48
Loissin,A5,2000.73
Rothenkirchen,A8,400.83
Furth bei Landshut,A6,81.7
Edertal-Kleinern,A1,2405.84
Voigtstedt,A8,2450.99
Konradsreuth,A4,2314.18
Nossen OT Radewitz,A4,372.16
Ilmenau,A8,926.87
Schwichteler,A6,1435.42
Tensbuettel,A5,410.7
Dettingen an der Erms,A8,2015.8
Hallbergmoos,A7,1747.65
Fahrenbach,A3,2276.95
Indlekofen,A7,2652.24
Loeptin,A6,1109.3
St Leon-Rot,A2,1104.58
Kirchberg a. d. Iller,A1,1123.73
Emtinghausen,A8,1112.15
Goch,A1,1630.73
Berg / Aufkirchen,A5,211.59
Bad Birnbach,A2,152.34
Creussen - Lindenhardt,A3,2397.6
Eching,A7,326.92
Pabstorf,A7,1646.31
Boebingen,A7,864.25
Wunstorf,A1,1448.07
Jeetzel,A3,2567.18
Dreieiech,A2,1196.33
Ollheim,A1,2105.47
Pfortenwallgasse,A4,523.01
Gottschdorf,A7,1963.85
Boren,A3,1693.75
Lieberose,A6,2804.89
Burglahr,A1,143.15
Wolkenstein,A5,1754.96
Etteln,A3,1830.67
Dranske/Bakenberg,A6,201.96
Simmerath,A4,2283.25
Dillenburg-Niederscheld,A4,1193.29
Medelon,A8,446.04
Moehringen,A4,392.17
Friedland,A3,243.98
Seevetal-Maschen,A5,2499.55
Oberhaid,A7,998.33
Burladingen,A3,2883.86
Eckenberg,A1,207.28
Zeil am Main,A3,222.91
Windach,A8,2252.56
Raisdorf,A2,2786.39
Ebelsbach,A2,734.56
Wrohe,A7,1909.75
Hattenhofen,A3,2514.57
Willingrade,A5,749.9
Denzlingen,A6,185.7
Cismar,A6,2901.87
Plattenhardt,A3,750.52
Eppstein,A5,2834.31
Tettenweis,A7,1510.26
Muecka,A6,2871.5
Windeck-Au,A3,1392.12
Tewswoos,A1,2410.91
Wallenborn,A4,2463.44
Kattanhorn,A2,2534.84
Kuerzell,A1,664.97
Kradenbach,A2,1410.86
Schmorda,A8,2003.98
Massing-Hochholding,A7,2006.51
Bischofsmais,A1,2607.19
Edertal-Bergheim,A6,1135.85
Appen,A1,368.94
Horum,A1,1728.89
Frankenhardt,A4,1810.73
Oberlahr,A3,1170.81
Gros Todtshorn,A7,138.24
Triebischtal OT Burkhardswalde,A7,1020.69
Kuehbach,A1,335.91
Heimbach,A1,2905.65
Dachau,A8,988.14
Obing,A8,2875.42
Etzelwang,A2,794.62
Esens-Bensersiel,A2,2414.58
Griesheim,A6,726.03
Tolstefanz,A2,567.82
Tuesling,A4,1521.52
Regensburg,A4,903.42
Neuhimmelreich,A5,150.46
Ballstaedt,A1,1924.33
Sulzdorf,A3,1628.06
Gollwitz,A7,1020.68
Alfdorf-Hoeldis,A6,1246.92
Kleve-Donsbrueggen,A6,1001.11
Aurachtal,A1,1472.68
Hoppenrade,A5,178.86
Langenwetzendorf,A1,2629.03
Marsberg- Obermarsberg,A8,2563.51
Wallroda,A5,950.09
Baden-Baden,A8,1365.1
Hammerbruecke,A2,858.86
Bad Salzschhlirf,A2,1036.52
Luebbenau / OT Lehde,A1,200.98
Obergurig,A5,2954.92
Uplengen - Nordgeorgsfehn,A7,2735.29
Nonnweiler,A6,2675.64
Niederbuessau,A3,1410.52
Bischofswerda,A1,1408.54
Peilstein,A4,1133.72
Gebstedt,A7,1929.52
Kerbach,A4,2855.8
Schluechtern,A8,2329.27
Saal,A6,2858.56
Balve - Langenholthausen,A3,1916.72
Buesingen bei Schaffhausen,A1,800.29
Beckstedt,A5,177
Wargolshausen,A3,1286
Sundern,A6,1098.07
Wettrup,A5,1290.47
Haimbach,A2,355.62
Lauterecken,A6,2726.29
Erkenbrechtsweiler,A1,1812.12
Nachrodt-Wiblingwerde,A7,88.5
Neuenrade-Blintrop,A1,1670.37
Fehmarn,A8,1657.58
Noervenich,A6,70.36
Langen-Krempel,A3,498.33
Bammental,A3,661.16
Nordrach,A8,1418.7
Fermerswalde,A6,403.36
Serres,A6,1460.04
Griesbeckerzell,A4,1454.24
Weilheim unter Teck,A3,1558.58
Werben (Elbe),A4,1068.84
Trebel,A4,2011.55
Bad Krozingen,A3,1832.47
Ploel,A3,32.55
Heyerode,A4,1815.63
Netphen,A5,1889.25
Gnarrenburg,A4,1239.57
Friedrichroda,A7,2371.49
Heudeber,A8,932.55
Medebach-Berge,A8,1194.25
Paderborn-Sande,A6,1914.22
Thiendorf,A2,1868.9
 Luettichau-Anbau,A2,2379.37
Linsengericht-Geislitz,A5,812.76
Eckental-Brand,A1,465.6
Leeder,A4,2645.3
Gremersdorf,A4,600.78
Guetersloh,A3,1405.92
Bad Dueben,A3,584.57
Bachhagel,A6,575.17
Blomberg - Cappel,A8,887.28
Luebeck-Travemuende,A1,2988.6
Markkleeberg,A5,756.86
Dortmund,A1,1481.46
Guenzburg,A5,212.44
Schwarzenbach an der Saale,A4,1416.8
Hamberg,A7,2797.97
Achern,A8,710.07
Doetlingen-Aschenstedt,A6,374.71
Boblitz,A5,207.77
Bellingen,A7,1912.95
Fambach / Hesles,A6,1337.69
Ockenheim,A1,1537.96
Tucheim,A8,2473.15
Weihenzell-Neumuehle,A3,1817.89
Haaren,A6,1506.59
Oering,A3,1947.76
Frensdof,A6,861.49
Colmberg,A7,2825.26
Staufenberg,A4,2806.97
Diessenhofen,A3,1915.6
Schweighofen,A5,2974
Luthe,A2,2192.5
Bordesholm,A6,1715.74
Hoerselberg-Hainich,A3,2458.26
Boenitz,A5,2993.43
Lienen-Kattenvenne,A2,814.49
Schmalfeld,A3,554.07
Repke,A8,259.16
Travemuende,A7,2833.21
Ostrohe,A6,2162.62
Foerderstedt,A8,345.87
Doetlingen,A5,2740.97
Dreetz,A5,747.04
Breest,A4,910.28
Volkfien,A5,2415.22
Röhrach,A8,2115.51
Olszyna,A1,1543.29
Banteln,A1,820.73
Rueterberg,A4,2685.01
Walshut-Tiengen,A5,2682.55
Buelitz,A2,1993.32
Leidersbach,A7,2987.9
Riepshof,A2,2126.87
Mechtersheim,A3,2324.66
Barnstorf,A6,1839.27
Goldenstedt,A7,2612.92
Mittbach,A8,2004.17
Pulheim-Brauweiler,A2,1159.29
Radolfzell-Boehringen,A6,2431.66
Reutlingen,A8,745.98
Granschuetz,A4,2749.43
Malsch,A5,2223.64
Gleschendorf,A8,610.66
Buelkau,A2,534.99
Nessendorf,A7,131.39
Langweid am Lech,A3,2195.39
Biebergemuend-Kassel,A5,2243.79
Bad Gottleuba,A8,1642.24
Wolpertswende,A5,424.5
Azmannsdorf,A8,1575.88
Gleichen,A2,2852.88
Hoinkenbostel,A7,2765.92
Bad Krozingen-Biengen,A1,1596.03
Spalt,A6,1671.87
Waldfeucht,A8,1168.38
Trebbin/ OT Klein Schulzendorf,A1,1189.99
Bruentrup,A8,815.38
Troisdorf-Eschmar,A3,396.66
Mettendorf,A6,1600.27
Artern,A8,1272.06
Schwaan,A6,2994.99
Lenningen,A2,1784.59
Foehren,A1,2592.26
Moehrendorf,A1,2778.24
Gladigau,A5,2669.12
Hamburg-Wilhelmsburg (Hafen),A2,2063.78
Grosolbersdorf,A4,2527.24
Forst,A1,613.43
Sternberg,A3,2747.16
Freigericht-Horbach,A6,2320.9
Schleswig,A2,1768.8
Ostseebad Breege,A3,1456.9
Bad Wildungen-Reinhardshausen,A6,87.87
Fahrdorf,A1,2655.92
Bastdorf,A2,601.42
Schneveringen-Heber,A8,1971.52
Schelklingen,A1,2827.68
Neuhausen/Erzgeb,A2,2383.56
Niendorf,A5,1023.78
Hasselburg,A7,2983.94
Nesselwang,A8,1278.37
Ronshausen,A4,123.12
Spreenhagen,A2,1341.33
Sieversdorf,A4,2827.13
Fuerstenwalde (Spree),A1,1826.59
Syke-Barrien,A7,2597.64
Oberhausen,A3,2496.16
Schindhard,A4,2281.13
Altottenhain,A1,2093.61
Briescht,A5,235.94
Lichtenberg,A1,1181.18
Bernau bei Berlin,A2,2483.08
Iggelheim,A6,2507.64
Schmallenberg-Gleidorf,A4,886.65
Bremerhaven,A2,352.56
Wulfsdorf,A1,1660.12
Wellheim,A3,493.94
Bad Bayersoien,A6,1625.84
Zeitlarn,A1,2975.65
Sande - Sanderbusch,A4,752.82
Badersleben,A1,2952.2
Lugau,A4,260.68
Hameln,A3,1545.16
Flarchheim,A2,1193.08
Emsbueren-Leschede,A7,162.19
Remshalden,A6,2601.1
Saara,A2,1768.69
Hofstatt,A2,839.28
Lehrberg,A7,1335.2
Dresden Klotzsche,A3,1223.55
Viersen-Suechteln,A2,1970.61
Dresden,A8,22.69
Berlinchen,A8,1963.07
Reut,A4,17.9
Kurort Oybin,A3,1139.5
Rednitzhembach,A2,1101.01
Allenbuettel,A8,1702.77
Hohenvolkfien,A7,2785.2
Angelbachtal,A3,575.03
Selent,A6,2055.01
Gerstheim,A3,2140.03
Handewitt,A4,1139.28
Stubbe,A2,881.03
Nottfeld,A1,1837.39
Gstadt a.Chiemsee,A3,1989.67
Pyrna,A4,2697.67
Sachsenhagen,A1,1035.67
Grueneck,A2,2091.5
Velbert-Toenisheide,A2,2998.66
Leisnig,A1,2787.47
oedsbach,A5,2893.7
Weisenhorn,A3,1766.91
Grafhorst,A4,2670.62
Selm,A8,1624.07
Weisenfels,A6,1888.65
Grosaitingen,A5,2287.23
Runkel,A4,486.75
Willanzheim,A4,2051.01
Ennepetal,A7,2186.6
Markt Erlbach,A8,2544.66
Lenkenthal,A1,676.37
Krummhoern - Groothusen,A1,1074.37
Hagen Westf.,A3,1991.37
Dresden-Cossebaude,A2,2243.45
Seerhausen,A2,2640.09
Kleinmachnow,A2,1046.6
Oehrenstock,A2,992.49
Buggingen,A5,2671.22
Pottenstein,A8,2127.03
Stappenbeck,A4,1734.81
Freileben,A6,1114.64
Leuna OT Guenthersdorf,A1,943.56
Zeschdorf,A3,2844.94
Schopfheim,A2,2813.18
Straach,A2,714.05
Sudwalde,A6,25.57
Rauenberg,A7,1839.78
Bad Liebenzell - Monakam,A5,823.83
Wittnau,A7,1419.98
Dingelstaedt,A4,823.94
Gosseltshausen,A6,2450.83
Harra,A6,700.55
Kalkar-Kehrum,A6,2004.72
Abtsgmuend,A5,2495.64
Wald,A1,229.57
Backnang,A4,1289.79
Grebbin,A6,927.64
Passade,A7,1275.99
Frakfurt am Main,A4,1255.58
Ostergarden,A5,1505.21
Olsbruecken,A7,794.81
Wipfratal,A4,2538.75
Travenbrueck,A5,163.98
Ramershoven,A6,2731.23
Bannewitz,A4,1575.9
Unterbernbach,A6,1443.23
Wolfratshausen,A2,1551.59
Hann. Muenden-Staufenberg,A1,763.2
Reichertshofen,A7,881.97
Harmstorf,A1,372.91
Vierkirchen,A7,2.39
Vaihingen-Horrheim,A3,2619.38
Gunzenhausen,A7,197.41
Zoerbig,A2,1035.94
Neustadt am Kulm,A6,186.51
Wandersleben,A3,1764
Borstel,A6,360.87
Sindelfingen,A5,1546.9
Hauzenberg,A4,42.51
Oberickelsheim,A2,382.33
Markdorf,A2,1659.6
Reinheim,A8,1292.37
Geesthacht OT Tespehude Strand,A3,406.56
Haslach,A8,208.71
